ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)",เริ่มการรายงาน,สิ้นสุดการรายงาน
"[29.03.26][มิ้น] เล่มลายเซ็นนักเขียนหมึกซึม (Ghostly) (Remains)",120246468504980260,2026-04-30,not_delivering,ad,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[09.09.25][มิ้น] ประโยคนี้เตือนสติ (Witches)",120236551109280260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[21.03.25][มิ้น] Unboxing newbook (Gift)",120222451540920260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[17.03.25][มิ้น] การ์ดอยากบอกอะไรคุณ (Witches)",120222281364600260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[21.01.25] [มิ้น] Unboxing หนังสือฮีลใจเล่มใหม่ 2025 (Home)",120218671600690260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[04.02.26][มิ้น] มนุษย์ที่เป็นคนดี (สัมภาษณ์หมอ) (Trap)",120245891795580260,2026-04-30,not_delivering,ad,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[26.11.24] [มิ้น] เงินเดือนก็พอใช้อยู่แล้ว (ปีศาจการเงิน)",120217325231390260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[07.03.25][มิ้น] วันนี้คุณเหนื่อยไหม (Embrace)",120221523412410260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[17.02.26][มิ้น] 20 เล่มลายเซ็น (Trap)",120244506815120260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[23.07.25][มิ้น] อ่านแล้วหายเหนื่อย (Tried)",120245505030860260,2026-04-30,not_delivering,ad,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[13.04.26][มิ้น] อยู่อย่างโดดเดี่ยว ก็ไม่ได้แย่เสมอไป (Ghostly)",120247192997980260,2026-04-30,not_delivering,ad,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[24.12.25][มิ้น] อย่ากลัวที่จะโดดเดี่ยว (Ghostly)",120242967762990260,2026-04-30,archived,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[15.10.24] [มิ้น] จุดเปลี่ยนของชีวิต (Life)",120216340907800260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[08.04.26][มิ้น] อยากเป็นคนแบบไหนให้เป็นคนแบบนั้น (Witches)",120246834617690260,2026-04-30,inactive,ad,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[21.01.25] [มิ้น] บทที่ 4 จดหมายจากพระจันทร์ (Home)",120218669546790260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[04.03.26][มิ้น] อยู่ต่อหรือลาออก (Tried)",120245214807230260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[19.11.24] [มิ้น] เพราะส่วนลึกที่สุดของทะเล (โอบกอด)",120217324834740260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[24.02.26][มิ้น] แมวที่เก็บมาเลี้ยงหายไป (Ghostly)",120244936014400260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[21.09.24] [มิ้น] คนเราแตกสลายได้กี่ครั้ง",120216728822800260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[21.01.25] [มิ้น] สถานที่ที่ปลอดภัยที่สุด (Home)",120218669476350260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[04.02.26][มิ้น] มนุษย์ที่เป็นคนดี (สัมภาษณ์หมอ) (Trap) (Click)",120244547996470260,2026-04-30,not_delivering,ad,การดูแลนดิ้งเพจ,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
