creator,mapped_revenue,allocated_unmap_revenue,total_revenue,total_orders,total_cost,roas,share_pct
ริว,140712.57,76227.76,216940.33,655.16,96835.25,2.24,57.48
มิ้น,104107.28,56397.7,160504.98,472.84,57732.32,2.78,42.52
