creator,tiktok_video_id,date_posted,product,gross_revenue,sku_orders,cost,roi,video_title
ริว,7577715506006789384,2025-11-28,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,6380.08,15,3750.4,1.7,คนที่เรารัก ‘แอบไปคุยกับแฟนเก่า‘ ควรรับมือยังไง พิกัดท้ายคลิป #opendurianhowto #opendurianbooks #ปีศาจตัวนั้นคือฉันเอง2 #MAYI #books
ไม่ระบุ,7612281978150292754,2026-03-01,[สุดคุ้ม] หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fight the Demons in My Heart,5977.18,19,1021.07,5.86,#tiktoklive #livehighlights 
ไม่ระบุ,7550135694962724113,2025-09-15,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,4714.82,13,2911.09,1.62,📕หนังสือเล่มนี้ทำให้เข้าใจว่า…  “การสูญเสีย มันไม่ได้อยู่เพื่อทำร้ายเราเสมอไป” 😈 #ปีศาจตัวนั้นคือฉันเอง2 #opendurianhowto #books #mayi #หนังสือฮีลใจ 
ริว,7603320113625861397,2026-02-05,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),4547.36,13,2305.36,1.98,เราจะรักคนอื่น และเมตตาคนอื่นได้ แต่อย่าลืมเมตตาตัวเองด้วย 💭 . 😢 หลายคนที่ได้ยินคำนี้อาจจะร้องไห้  เพราะไม่เคยมองตัวเอง รักตัวเอง และเมตตาตัวเอง .  👩‍⚕️ บทสัมภาษณ์จาก ‘คุณหมอทานตะวัน’ (ผศ.พญ.ทานตะวัน อวิรุทธ์วรกุล) . 🩺 ผศ.ด้านจิตเวชศาสตร์ คณะแพทยศาสตร์ โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล ที่มีประสบการณ์มายาวนานกว่า 20 ปี     . 🩵 เจ้าของเพจ ‘ยิ่งโตยิ่งสุขโดย พญ.ทานตะวัน’ สู่แรงบันดาลใจในการเขียนหนังสือเล่มใหม่ล่าสุด ✨  หนังสือ “กับดักความรู้สึกผิด” 📖 . สิ่งที่ได้รับเมื่ออ่านเล่มนี้ 💬    🚶‍➡️ ก้าวข้ามความรู้สึกผิดได้ผ่านแนวคิดจิตวิทยา 🚶‍➡️ เข้าใจที่มาและเรียนรู้รับมือกับความรู้สึกผิดได้ถูกวิธี  🚶‍➡️ ปรับความคิดและดูแลใจเมื่อความรู้สึกผิดเกิดขึ้น 🚶‍➡️ ปลดล็อกปมในใจ ก้าวสู่การให้อภัยและการเติบโต . 🗒️ เนื้อหาอ่านง่าย มาพร้อมภาพประกอบการอธิบาย 🗒️ สอดแทรก Case Studies ตัวอย่างจริงให้เราเข้าใจ . ⚠️ ผ่านการรวบรวมเรื่องราวสำคัญกว่า 7 บท    • ความรู้สึกผิดหน้าตาเป็นอย่างไร • เหตุแห่งความรู้สึกผิด • อะไรจะเกิดขึ้นหากคุณไม่ได้รู้สึกผิด • ส่งสัญญาณเตือน ความรู้สึกผิดที่เป็นพิษ • วิธีดูแลใจเมื่อความรู้สึกผิดถาโถมใจ • เรื่องราวความรู้สึกผิด กับการปลดล็อกอย่างถูกวิธี • “ความจริงของชีวิต” กับ “ความรู้สึกผิด” . ❤️‍🩹 หนังสือเล่มนี้ จะช่วยให้คุณได้เยียวยา  ก้าวข้ามความรู้สึกผิด ปลดล็อกปมในใจ เห็นประตูสู่การให้อภัย และเติบโตอย่างแท้จริง .  📖 หนังสือ “กับดักความรู้สึกผิด” 📍 ราคาเพียง 359 บาท (ปกติ 399 บาท) ⚠️ แถมฟรี ที่คั่นหนังสือ 1 ชิ้น    . 📌 สนใจสั่งซื้อ ทักแชตได้เลยค่ะ  #กับดักความรู้สึกผิด #TheGuiltTrap #หมอทานตะวัน #opendurianhowto #opendurianbooks 
ริว,7605160478847044884,2026-02-10,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),4508.29,14,3317.01,1.36,🫂มนุษย์ที่เป็นคนดี มักรู้สึกผิด น่าเสียดายนะ ที่คนคิดถึงคนอื่นเก่งที่สุด กลับเป็นคนที่โทษตัวเองเก่งที่สุดเหมือนกัน เราขอโทษในเรื่องที่ไม่ใช่ความผิด เราฝืนตัวเองเรียกมันว่า “หน้าที่ของคนดี” ความรู้สึกผิดพวกนี้ ไม่ได้ทำให้เราเป็นคนดีขึ้น   . 📘หนังสือ “กับดักความรู้สึกผิด” ไม่ใช่หนังสือสอนให้เลิกเป็นคนดี แต่ช่วยให้คุณเลิกทำร้ายตัวเองจากคำว่า “ต้องเป็นคนดี” . ✨เพราะมันน่าเสียดายเกินไป ถ้าคนดี ต้องเจ็บอยู่คนเดียว การดูแลสุขภาพจิตเริ่มจากการ เลิกเป็นศัตรูกับตัวเองมาอ่านหนังสือเล่มนี้กันนะ ใครสนใจกดสั่งซื้อที่ตะกร้าได้เลย . กับดักความรู้สึกผิด TheGuiltTrap หมอทานตะวัน opendurianhowto opendurianbooks 
ริว,7548767687489375495,2025-09-11,[สุดคุ้ม] หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fight the Demons in My Heart,4115.34,13,1023.11,4.02,ยังไม่พร้อมที่จะเป็นผู้ใหญ่ แต่ก็อยู่ในวัยที่ทำตัวเป็นเด็กไม่ได้อีกแล้ว👦🏻👨🏻  #opendurianhowto #opendurianbooks #ปีศาจตัวนั้นคือฉันเอง #หนังสือพัฒนาตัวเอง #books
ไม่ระบุ,7506811796737559826,2025-05-21,หนังสือ Ghostly Brews ยินดีบริการดวงวิญญาณหลังเที่ยงคืน by หมึกซึม,4008.9,13,972.35,4.14,…เมื่อคนหมดแพชชัน  ต้องไปเป็นที่ปรึกษา ให้กับดวงวิญญาณ 😱 ที่ร้านกาแฟแห่งหนึ่งที่เปิดตอนเที่ยงคืน 😣 📌สั่งซื้อ #ghostlybrewsยินดีบริการดวงวิญญาณหลังเที่ยงคืน ได้แล้ววันนี้‼️ #opendurianhowto #books #หนังสือฮีลใจ #comic #เรื่องลึกลับ #หนังสือใหม่ #รักตัวเอง #หมึกซึม #ghost #หนังสือพัฒนาตัวเอง 
มิ้น,7567384291366210837,2025-10-31,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,3990.43,14,1781.21,2.24,✨ 2 ปี กับการเติบโตของหนังสือ  “ปีศาจตัวนั้นคือฉันเอง” 😈  มาฟังความรู้สึกของนักเขียน May-I  ว่ารู้สึกยังไงกันบ้าง 💖 #opendurianhowto #หนังสือฮีลใจ #ปีศาจตัวนั้นคือตัวฉันเอง #books #สัมภาษณ์ 
ริว,7589521979640712469,2025-12-30,BOXSET The Witches' Club ชมรมลับเปลี่ยนชีวิต,3727.99,8,1205.46,3.08,นี่ไม่ใช่แค่ “ไพ่ทำนายดวง” แต่มันคือไพ่ที่ปลอบใจเราได้แม่นมาก ๆ เราลองเปิดมาใบนึงตรงกับใครกันบ้าง 😇✨ #opendurianhowto #opendurianbooks #หนังสือพัฒนาตัวเอง #books #TheWitchesClub
ริว,7531972612533144839,2025-07-28,หนังสือ Ghostly Brews ยินดีบริการดวงวิญญาณหลังเที่ยงคืน by หมึกซึม,3683.08,13,822.56,4.48,รีบสั่งก่อนของหมด‼️ กับหนังสือการ์ตูนฮีลใจที่มาแรงที่สุดในตอนนี้ บอกเลยว่าคุณจะไม่ผิดหวังเพราะอ่านแล้วจะทำให้คุณเห็นคุณค่าในตัวเองแน่นอน #opendurianhowto #opendurianbooks #หนังสือGhostlyBrews #GhostlyBrews #ยินดีบริการดวงวิญญาณหลังเที่ยงคืน #Books #หนังสือฮีลใจ #หนังสือพัฒนาตัวเอง #หนังสือขายดี #หนังสือ 
