ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
,,,,,mixed,,,157701,107685.54,1.46445846,1393298,657667,350,1225,87.90656327,412,5719,3.79014396,77.28823267,0.28489796,2026-02-01,2026-02-28
"[01.04.26][ริว] เลิกควบคุมสิ่งที่ควมคุมไม่ได้ (AI) (Trap)",120248276191150260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.09.25][ริว] เปิดตัวปีศาจ 2 (Demons)",120235947662650260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[19.10.25][ริว] 30 เล่มสุดท้าย (Demons)",120238953717570260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[23.05.25][ริว] หนังสือการ์ตูนฮีลใจ (Ghostly)",120229263803080260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[08.10.25][ริว] เติบโตขึ้น พ่อแม่แก่ลง (Demons)",120238216884260260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[01.03.26][ริว] รักคนอื่น (Trap)",120245040544810260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[12.08.25][ริว] สัญญาณที่ควรอ่าน (Witches)",120234721984450260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[29.09.25][ริว] ประโยคหลังปก ปีศาจ 2 (Demons)",120238217714390260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[06.08.25][ริว] แค่หนังสือการ์ตูน ทำไมถึงร้องไห้ (Ghostly)",120236105020060260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.08.25][ริว] หยุดคิดและทบทวนชีวิต (Ghostly)",120234715022850260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[22.08.25][ริว] Payday August 2 Box 999 (Promotion_Payday)",120235249452170260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[29.09.25][ริว] E-Book (Ghostly)",120240395147490260,2026-02-28,inactive,ad,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[22.07.25][ริว] วันนี้เธอเหนื่อยไหม (Tried)",120234921224810260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[14.07.25][ริว] รักตัวเอง ไม่ใช่คนเห็นแก่ตัว (Kiwtum)",120234400624990260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[06.08.25][ริว] มีชีวิตอยู่อย่างโดดเดี่ยว (ghostly)",120234918883500260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[08.07.25][ริว] ย่านเมืองเก่ามีร้านคาเฟ่ร้านนึงเปิดหลังเที่ยงคืน (Ghostly)",120233368434930260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[12.09.25][ริว] 5 ประโยคเตือนสติ (Ghostly)",120236691306870260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[04.09.25][ริว] 9.9 : 3 เล่ม ราคา 999.- (Promotion)",120236189605560260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[22.09.25][ริว] แม่อยากให้ลูกมั่นคง (Remains)",120237920752020260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[08.08.25][ริว] จุกอกอยู่อย่าง (ปีศาจตัวนั้น)",120234605062370260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.09.25][ริว] เปิดตัวปีศาจ 2 (Demons)",120236553082840260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.09.25][ริว] เปิดตัวปีศาจ 2 (Demons)",120235860183130260,2026-02-28,archived,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[08.08.25][ริว] งานศพ (Ghostly)",120234605536710260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[24.07.25][ริว] หนังสือที่ควรอ่านสักครั้ง (Witches)",120233371870610260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[01.08.25][ริว] ประโยคเดียวในหนังสือ (Witches)",120234375496680260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.09.25][ริว] จุกอกกับปีศาจ2 (Demons)",120235859358570260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[29.09.25][ริว] เลือกปกหนังสือ (Remains)",120237920290890260,2026-02-28,archived,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[27.05.25][ริว] ประโยคที่อ่านแล้วจุกอก (Witches)",120234553219280260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[08.07.25][ริว] ย่านเมืองเก่ามีร้านคาเฟ่ร้านนึงเปิดหลังเที่ยงคืน (Ghostly)",120232410204790260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.09.25][ริว] เปิดตัวปีศาจ 2 (Demons)",120236620453190260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[22.10.25][ริว] (ไม่)นอกใจ (Demons)",120239593304140260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[28.08.25][ริว] ถ้าต้องบอกกับตัวเอง (Tried)",120235810805880260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[06.08.25][ริว] หนังสือ Mindset ดีขึ้น (Tried)",120234467036490260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[18.12.25][ริว] นาทีทอง (Ghostly)",120242333657580260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[12.11.25][ริว] รักตัวเองก่อน (ปีศาจตัวนั้น)",120240371822780260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[12.11.25][ริว] (ไม่)ยอมลดคุณค่าตัวเอง (ปีศาจตัวนั้น)",120240372637990260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[25.07.25][ริว] คะแนน9.9/10 (Tried)",120234551664170260,2026-02-28,archived,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[22.08.25][ริว] แจกวอลเปเปอร์ (Ghostly)",120236029152520260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[16.01.26][ริว] ภาค 1 ว่าเศร้าแล้ว (Remains)",120243288350740260,2026-02-28,inactive,ad,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.09.25][ริว] ประโยคเดียวในหนังสือ (Witches)",120236634029160260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[07.11.25][ริว] 11.11 บุฟเฟต์ 3 เล่ม 999 (Promotion)",120240090732090260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[23.06.25][ริว] ประโยคเดียวในหนังสือที่จะเปลี่ยนชีวิต (Witches)",120234501355100260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.06.25][ริว] จะเป็นยังไงถ้าคุณต้องเป็นที่ปรึกษา (Ghostly)",120230533036440260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[06.09.25][ริว] ความกลัวการไม่ถูกรัก (Ghostly)",120236620119270260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.11.25][ริว] แค่ประโยคเดียว (Witches)",120239971450760260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.09.25][ริว] จุกอกกับปีศาจ2 (Demons)",120236439332360260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[10.12.25][ริว] 12.12 : แลกซื้อ E-Book เล่มที่สอง 12.- (Promotion)",120241898370320260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[06.10.25][ริว] แค่หนังสือการ์ตูน (Remains)",120237931551340260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[31.10.25][ริว] อ่านแล้วหายเหนื่อย (Tried)",120239657661570260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[06.08.25][ริว] ประโยคเปลี่ยนชีวิต (Tried)",120234822515500260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
