ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
"[10.05.25][หมิว] MID MONTH SALE (Promotion_MM)",120228490603480260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[04.10.24] [หมิว] เปิดตัว (Ghost)",120216515401600260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[14.05.25][หมิว] เหนื่อยจนไม่อยากพยายาม (Witches)",120228640620170260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[13.08.24] [หมิว] พร้อมขายวันนี้ (Helmet_Boxset)",120214719139300260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[06.10.25][หมิว] แม่อยากให้ลูกมั่นคง (Remains)",120240664303910260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[13.03.25][หมิว] Mid Month จับคู่ 2 Boxset 990.- (Promotion_MM)",120222341596490260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[25.01.25][หมิว] หนังสืออ่านแล้วพลังในการเริ่มใหม่ (Kidmakk)",120222346821690260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.03.25][หมิว] เปิดตัวหนังสือเล่มใหม่ 3 Real (Gift)",120222458533860260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[11.07.25][หมิว] แจกฟรี! Me Time Planner (Promotion)",120232758855340260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[13.08.24] [หมิว] พร้อมขายวันนี้ (Helmet_เล่มเดี่ยว)",120214719192180260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[07.03.25][หมิว] เปิดตัวเล่มใหม่ The Witches' Club (Witches)",120221590292430260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[23.07.25][หมิว] 30 เล่มสุดท้ายส่งจากคลัง (Ghostly)",120235310030320260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[26.03.25][หมิว] หนังสือที่พ่อ-แม่แนะนำ (Helmet_Boxset)",120222798865210260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[24.12.24] [หมิว] 5 ข้อคิด (Kidmakk)",120218114311240260,2026-05-04,archived,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[05.08.24] [หมิว] 8.8 ทรงอย่างแซด (จัดแพ็ก)",120214592608420260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[24.01.25][หมิว] 5 ข้อคิดจากหนังสือยินดีต้อนรับ (Home)",120219262505440260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[08.05.25][หมิว] เมื่อคุณเริ่มตั้งคำถามกับชีวิต (Witches)",120228376147760260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[14.02.25][หมิว] รางวัลอันดับ 1 จากผู้อ่านจริง (ปีศาจตัวนั้น)",120219994571860260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[07.04.25][หมิว] หนังสือรวม 50 กฎลับจากแม่มด (Witches)",120225212402310260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[19.02.25][หมิว] 8 ข้อคิด Manifest ชีวิต (Kidmakk)",120220278653740260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[20.01.25][Garden_Boxset][หมิว][Album] หนังสือฮีลใจแห่งปี",120218620237260260,2026-05-04,archived,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[07.03.25][หมิว] เปิดตัวเล่มใหม่ 5 Real Boxset (Witches)",120221517122310260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[08.08.24] [หมิว] เก็บตก 8.8 (CI)",120214607055980260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[28.03.25][หมิว] ซื้อหนังสือ + แถมวอลเปเปอร์แมวมู (Witches)",120223068757210260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[22.05.25][หมิว] เปิดตัวเล่มใหม่ 1 GHOSTLY BREWS (Ghostly)",120229091766510260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[17.10.25][หมิว] Boxset เปลี่ยนความทุกข์ (Witches)",120239443368920260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[02.05.25][หมิว] 10 ประโยคจากใจ… (Engage)",120227794692920260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[11.02.25][หมิว] โปรพิเศษ ขอบคุณนักอ่าน (Promotion_Pack)",120219803165240260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
